Comment,Designator,Footprint,LCSC Part #
"1n","C751","C0402","C1523"
"470n","C752","C0402","C47339"
"100n","C753, C754, C759","C0402","C1525"
"1u","C755, C758, C761, C762, C763, C765, C766, C767","C0402","C52923"
"10n","C756, C757, C760, C764, C768, C769","C0402","C15195"
"LED-GREEN-0603","D751","LED-0603","C72043"
"2.2k","R751","R0402","C25879"
"10k","R752, R753","R0805","C17414"
"12k","R754, R472","R0402","C25752"
"100k","R755, R756, R758, R759, R471, R473","R0402","C25741"
"10k","R757, R762, R763, R767, R768","R0402","C25744"
"68k","R760","R0402","C36871"
"10","R761, R764, R769","R0402","C25077"
"1k","R765, R766","R0402","C11702"
"DNP","R770","R0402",""
"SRV05-4-P-T7","U751","SOT23-6","C85364"
"74AHC1G02","U752, U757","SOT23-5","C7463"
"MCP6004","U753","TSSOP14","C50282"
"MAX9142","U754","SO8","C18567"
"NC7SB3157P6X","U755, U756","SOT-363","C87403"
"100n","C470","C0402","C307331"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"33k","R474","R0402","C25779"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"1n","C700, C703","C0805","C46653"
"10u","C701","C0603","C19702"
"100n","C702","C0603","C14663"
"LED-RED-0603","D700, D701","LED-0603","C2286"
"10k","R700, R701","R0603","C25804"
"5.1k","R702, R703, R705, R706, R707, R708, R710, R711","R0805","C27834"
"MAX9926","U700","QSOP16",""
